 Model , Animation , Concept-art , Painting , Photo , Averaged 
 SDXL Refiner 0.9 ,33.26,32.07,31.63,28.38,31.34
 SDXL Base 0.9 ,32.84,31.36,30.86,27.48,30.63
 Deliberate ,31.46,30.48,30.17,28.83,30.23
 Realistic Vision ,31.01,29.95,30.0,28.61,29.89
 Dreamlike Photoreal 2.0 ,30.87,29.75,29.46,28.85,29.73
 MajicMix Realistic ,29.67,28.5,28.44,28.02,28.66
 ChilloutMix ,29.46,28.46,28.35,27.63,28.47
 Openjourney ,28.37,27.38,27.53,26.66,27.48
 DeepFloyd-XL ,27.71,26.07,25.79,27.96,26.88
 Epic Diffusion ,27.07,26.14,26.17,26.43,26.45
 Stable Diffusion v2.0 ,27.09,26.02,25.68,26.73,26.38
 Stable Diffusion v1.4 ,26.03,24.87,24.8,25.7,25.35
 DALL·E 2 ,26.38,24.51,24.93,25.55,25.34
 Versatile Diffusion ,23.69,23.39,24.02,24.64,23.93
 CogView2 ,23.64,24.86,23.4,22.68,23.64
 VQGAN + CLIP ,22.55,23.76,23.41,21.51,22.81
 DALL·E mini ,21.54,20.5,20.32,21.72,21.02
 Latent Diffusion ,20.63,19.65,19.79,21.26,20.34
 FuseDream ,19.16,19.37,19.07,20.07,19.42
 VQ-Diffusion ,18.44,18.31,19.24,20.62,19.15
 LAFITE ,17.79,17.55,17.61,20.88,18.46
 GLIDE ,13.9,13.5,13.94,16.72,14.51
